# Fri Mar 15 12:41:08 UTC 2019
timestamp, serial, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB]
2019/03/15 12:41:09.965, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:10.166, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:10.166, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:10.167, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.168, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:10.168, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.169, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:10.169, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.170, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:10.370, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:10.371, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:10.372, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.372, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:10.373, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.373, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:10.374, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.374, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:10.575, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:10.576, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:10.576, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.577, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:10.577, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.578, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:10.578, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.579, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:10.780, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:10.780, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:10.781, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.782, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:10.782, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.783, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:10.783, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.784, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:10.985, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:10.985, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:10.986, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.986, 0321018121928, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.987, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:10.987, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:10.988, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:10.988, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:11.189, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:11.190, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:11.190, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.191, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:11.191, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.192, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:11.193, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:11.193, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:11.394, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:11.395, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:11.395, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.396, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:11.396, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.397, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:11.397, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:11.398, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:11.599, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:11.599, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:11.600, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.600, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:11.601, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.601, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:11.602, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:11.602, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:11.803, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:11.804, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:11.805, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.806, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:11.807, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:11.807, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:11.808, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:11.808, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:12.009, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:12.010, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:12.010, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.011, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:12.011, 0320318007901, 34, 0, 0, 0, 16130
